Index,GameTime,DspTime,Instrument,InputLine,InputPitch,FinalPitch,MaxClipIdx,ClipName,Volume,JavaMapping,WasClamped,ClampedFrom,Status
1,17.378,1877.3217,Piano,5,3,4,44,piano_snd004,0.27,True,True,3,PLAYED
2,17.585,1877.5191,Piano,4,1,6,44,piano_snd006,0.27,True,True,1,PLAYED
3,17.719,1877.6526,Piano,3,0,10,44,piano_snd010,0.27,True,True,0,PLAYED
4,17.886,1877.8210,Piano,5,3,4,44,piano_snd004,0.27,True,True,3,PLAYED
5,18.069,1878.0067,Piano,4,1,6,44,piano_snd006,0.15,True,True,1,PLAYED
6,18.236,1878.1693,Piano,3,0,10,44,piano_snd010,0.15,True,True,0,PLAYED
7,18.402,1878.3376,Piano,2,0,15,44,piano_snd015,0.15,True,True,0,PLAYED
8,18.586,1878.5176,Piano,4,1,6,44,piano_snd006,0.15,True,True,1,PLAYED
9,18.751,1878.6859,Piano,3,0,10,44,piano_snd010,0.15,True,True,0,PLAYED
10,18.902,1878.8368,Piano,2,0,15,44,piano_snd015,0.15,True,True,0,PLAYED
11,19.085,1879.0168,Piano,2,3,18,44,piano_snd018,0.15,True,True,3,PLAYED
12,19.302,1879.2374,Piano,3,0,10,44,piano_snd010,0.15,True,True,0,PLAYED
13,19.419,1879.3593,Piano,2,0,15,44,piano_snd015,0.15,True,True,0,PLAYED
14,19.618,1879.5508,Piano,2,3,18,44,piano_snd018,0.15,True,True,3,PLAYED
15,19.802,1879.7424,Piano,1,3,22,44,piano_snd022,0.15,True,True,3,PLAYED
16,19.953,1879.8875,Piano,2,0,15,44,piano_snd015,0.15,True,True,0,PLAYED
17,20.102,1880.0385,Piano,2,3,18,44,piano_snd018,0.15,True,True,3,PLAYED
18,20.285,1880.2184,Piano,1,3,22,44,piano_snd022,0.15,True,True,3,PLAYED
19,20.485,1880.4158,Piano,0,3,27,44,piano_snd027,0.15,True,True,3,PLAYED
20,20.636,1880.5783,Piano,2,3,18,44,piano_snd018,0.15,True,True,3,PLAYED
21,20.785,1880.7176,Piano,1,3,22,44,piano_snd022,0.15,True,True,3,PLAYED
22,20.985,1880.9150,Piano,0,3,27,44,piano_snd027,0.15,True,True,3,PLAYED
23,21.137,1881.0659,Piano,0,6,30,44,piano_snd030,0.15,True,True,6,PLAYED
24,21.319,1881.2459,Piano,1,3,22,44,piano_snd022,0.15,True,True,3,PLAYED
25,21.485,1881.4200,Piano,0,3,27,44,piano_snd027,0.15,True,True,3,PLAYED
26,21.636,1881.5710,Piano,0,6,30,44,piano_snd030,0.15,True,True,6,PLAYED
27,21.818,1881.7567,Piano,1,11,30,44,piano_snd030,0.15,True,True,11,PLAYED
28,21.818,1881.7567,Piano,0,10,34,44,piano_snd034,0.15,True,True,10,PLAYED
29,21.818,1881.7567,Piano,2,12,27,44,piano_snd027,0.15,True,True,12,PLAYED
30,21.819,1881.7567,Piano,5,3,4,44,piano_snd004,0.15,True,True,3,PLAYED
31,21.855,1881.7916,Piano,3,12,22,44,piano_snd022,0.15,True,True,12,PLAYED
32,21.992,1881.9309,Piano,1,11,30,44,piano_snd030,0.15,True,True,11,PLAYED
33,21.992,1881.9309,Piano,3,12,22,44,piano_snd022,0.15,True,True,12,PLAYED
34,21.992,1881.9309,Piano,2,12,27,44,piano_snd027,0.15,True,True,12,PLAYED
